framework,path,compileSdkVersion,targetSdkVersion,minSdkVersion
android,repositories/googlesamples/android-SwipeRefreshLayoutBasic/Application/build.gradle,27,27,14
android,repositories/googlesamples/android-StorageProvider/build.gradle,,,
android,repositories/googlesamples/android-StorageProvider/Application/build.gradle,27,22,19
android,repositories/googlesamples/android-StorageClient/build.gradle,,,
android,repositories/googlesamples/android-StorageClient/Application/build.gradle,27,27,16
android,repositories/googlesamples/android-SlidingTabsColors/build.gradle,,,
android,repositories/googlesamples/android-SlidingTabsColors/Application/build.gradle,27,27,14
android,repositories/googlesamples/android-SlidingTabsBasic/build.gradle,,,
android,repositories/googlesamples/android-SlidingTabsBasic/Application/build.gradle,27,27,14
android,repositories/googlesamples/android-SkeletonWearableApp/build.gradle,,,
android,repositories/googlesamples/android-SkeletonWearableApp/Wearable/build.gradle,27,22,24
android,repositories/googlesamples/android-ShareActionProvider/build.gradle,,,
android,repositories/googlesamples/android-ShareActionProvider/Application/build.gradle,27,27,9
android,repositories/googlesamples/android-ScreenCapture/build.gradle,,,
android,repositories/googlesamples/android-ScreenCapture/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-ScopedDirectoryAccess/build.gradle,,,
android,repositories/googlesamples/android-ScopedDirectoryAccess/Application/build.gradle,24,24,24
android,repositories/googlesamples/android-RuntimePermissions/build.gradle,,,
android,repositories/googlesamples/android-RuntimePermissions/kotlinApp/build.gradle,,,
android,repositories/googlesamples/android-RuntimePermissions/kotlinApp/app/build.gradle,26,26,15
android,repositories/googlesamples/android-RepeatingAlarm/build.gradle,,,
android,repositories/googlesamples/android-RepeatingAlarm/Application/build.gradle,27,27,11
android,repositories/googlesamples/android-RecyclerView/build.gradle,,,
android,repositories/googlesamples/android-RecyclerView/Application/build.gradle,27,27,7
android,repositories/googlesamples/android-RecyclerView/kotlinApp/build.gradle,,,
android,repositories/googlesamples/android-RecyclerView/kotlinApp/app/build.gradle,27,27,14
android,repositories/googlesamples/android-RecipeAssistant/build.gradle,,,
android,repositories/googlesamples/android-RecipeAssistant/Application/build.gradle,27,23,18
android,repositories/googlesamples/android-Quiz/build.gradle,,,
android,repositories/googlesamples/android-Quiz/Application/build.gradle,27,23,18
android,repositories/googlesamples/android-Quiz/Wearable/build.gradle,27,22,18
android,repositories/googlesamples/android-PermissionRequest/build.gradle,,,
android,repositories/googlesamples/android-PermissionRequest/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-PdfRendererBasic/build.gradle,,,
