framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,numberOfFiles,others
android,googlesamples/android-CardEmulation,12,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,48,9
android,googlesamples/android-BorderlessButtons,7,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,45,13
android,googlesamples/android-BluetoothAdvertisements,6,1,1,2,0,0,14,1,2,0,1,1,0,0,0,0,0,0,0,42,14
android,googlesamples/android-BeamLargeFiles,11,1,1,2,0,0,14,1,2,0,1,1,0,0,0,0,0,0,0,42,9
android,googlesamples/android-BatchStepSensor,20,1,1,2,0,0,41,1,3,0,1,2,0,0,0,0,0,0,0,95,24
android,googlesamples/android-BasicTransition,11,1,1,2,0,0,24,1,3,0,1,2,0,0,0,0,0,0,0,55,10
android,googlesamples/android-BasicSyncAdapter,17,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,55,11
android,googlesamples/android-BasicNotifications,2,1,1,2,0,0,12,1,3,0,1,2,0,0,0,0,0,0,0,44,20
android,googlesamples/android-BasicNetworking,9,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,44,11
android,googlesamples/android-BasicMultitouch,9,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,44,11
android,googlesamples/android-BasicMediaRouter,9,1,1,2,0,0,16,1,3,0,1,2,0,0,0,0,0,0,0,43,8
android,googlesamples/android-BasicMediaDecoder,3,1,1,2,0,0,13,1,3,0,1,2,0,0,0,0,0,0,0,44,18
android,googlesamples/android-BasicManagedProfile,5,1,1,2,0,0,19,1,3,0,1,2,0,0,0,0,0,0,0,48,14
android,googlesamples/android-BasicImmersiveMode,10,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,46,11
android,googlesamples/android-BasicGestureDetect,11,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,46,10
android,googlesamples/android-BasicContactables,9,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,49,15
android,googlesamples/android-BasicAndroidKeyStore,11,1,1,2,0,0,15,1,3,0,1,1,0,0,0,0,0,0,0,50,15
android,googlesamples/android-AutoBackupForApps,4,1,1,2,0,0,18,1,2,0,1,1,0,0,0,0,0,0,0,41,11
android,googlesamples/android-AsymmetricFingerprintDialog,9,1,1,2,0,0,20,1,2,0,1,1,0,0,0,0,0,0,0,57,20
