,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
googlesamples\\android-RuntimePermissionsWear,"Mann_Kendall_Test(trend='no trend', h=False, p=0.379914354663879, z=-0.8780541105074453, Tau=-0.07333333333333333, s=-22.0, var_s=572.0, slope=0.0, intercept=8.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0190582341693466, z=-2.3443899447714207, Tau=-0.31666666666666665, s=-95.0, var_s=1607.6666666666667, slope=-0.032670454545454544, intercept=131.89204545454547)","Mann_Kendall_Test(trend='increasing', h=True, p=0.04921096461484953, z=1.9667593187871921, Tau=0.25, s=75.0, var_s=1415.6666666666667, slope=0.0, intercept=2.1449275362318843)","Mann_Kendall_Test(trend='no trend', h=False, p=0.379914354663879, z=-0.8780541105074453, Tau=-0.07333333333333333, s=-22.0, var_s=572.0, slope=0.0, intercept=0.0011863682011608034)"
googlesamples\\android-JumpingJack,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.000271298919248375, z=-3.6412676394457817, Tau=-0.26218487394957984, s=-156.0, var_s=1812.0, slope=0.0, intercept=12.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.5260685102403007, z=-0.6340188655856955, Tau=-0.05378151260504202, s=-32.0, var_s=2390.6666666666665, slope=0.0, intercept=48.91666666666666)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10615367598886305, z=1.6157254961699983, Tau=0.13445378151260504, s=80.0, var_s=2390.6666666666665, slope=0.0, intercept=1.3)","Mann_Kendall_Test(trend='no trend', h=False, p=0.5128964847877024, z=-0.6543342495273571, Tau=-0.05546218487394958, s=-33.0, var_s=2391.6666666666665, slope=0.0, intercept=0.0003725367823790293)"
googlesamples\\android-DataLayer,"Mann_Kendall_Test(trend='no trend', h=False, p=0.5683581750732833, z=0.5704711634151837, Tau=0.05555555555555555, s=37.0, var_s=3982.3333333333335, slope=0.0, intercept=6.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=6.342918403845488e-07, z=-4.980472596905472, Tau=-0.5630630630630631, s=-375.0, var_s=5639.0, slope=-0.9210526315789489, intercept=151.9122807017544)","Mann_Kendall_Test(trend='increasing', h=True, p=6.6152692987930806e-06, z=4.505705787448822, Tau=0.506006006006006, s=337.0, var_s=5561.0, slope=0.004133207368918257, intercept=1.5283419933868685)","Mann_Kendall_Test(trend='no trend', h=False, p=0.5005629885990053, z=0.6736041900245702, Tau=0.06456456456456457, s=43.0, var_s=3887.6666666666665, slope=0.0, intercept=0.00046528296176499384)"
googlesamples\\android-AlwaysOn,"Mann_Kendall_Test(trend='decreasing', h=True, p=0.02374139453072588, z=-2.2612885543260344, Tau=-0.1476923076923077, s=-48.0, var_s=432.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6041424728262725, z=0.5184526723884298, Tau=0.06769230769230769, s=22.0, var_s=1640.6666666666667, slope=0.0, intercept=166.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.020183419175423323, z=2.3229205829628334, Tau=0.28307692307692306, s=92.0, var_s=1534.6666666666667, slope=0.0, intercept=1.3636363636363635)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
googlesamples\\android-MediaEffects,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=11.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=66.18181818181819)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.3866666666666667)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=9.79313812091608e-05)"
googlesamples\\android-DirectBoot,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=9.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6609196600194431, z=-0.43864379280157473, Tau=-0.058823529411764705, s=-8.0, var_s=254.66666666666666, slope=0.0, intercept=68.44444444444444)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0007603058428726772, z=3.3668552516724395, Tau=0.5147058823529411, s=70.0, var_s=420.0, slope=0.0006343542471999531, intercept=1.2661116067003662)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0008233728197713692)"
googlesamples\\leanback-showcase,"Mann_Kendall_Test(trend='increasing', h=True, p=3.6703973194107675e-13, z=7.2671696474513485, Tau=0.7227053140096619, s=748.0, var_s=10566.0, slope=1.0, intercept=42.5)","Mann_Kendall_Test(trend='increasing', h=True, p=7.789958123005647e-08, z=5.371927151439612, Tau=0.5429951690821256, s=562.0, var_s=10906.0, slope=0.39278846153846203, intercept=51.110311563436554)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0004015913340309485, z=3.5390358343282005, Tau=0.357487922705314, s=370.0, var_s=10871.333333333334, slope=0.0024694398404408644, intercept=1.3910606972719974)","Mann_Kendall_Test(trend='increasing', h=True, p=1.0556041459608423e-05, z=4.405458389843126, Tau=0.4444444444444444, s=460.0, var_s=10855.333333333334, slope=8.275141547558996e-05, intercept=0.010670994220805322)"
googlesamples\\android-MessagingService,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=7.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.035815357385734714, z=2.0990175081052667, Tau=0.25517241379310346, s=111.0, var_s=2746.3333333333335, slope=0.0, intercept=60.14285714285714)","Mann_Kendall_Test(trend='increasing', h=True, p=7.612829161951495e-06, z=4.4757927899909555, Tau=0.4804597701149425, s=209.0, var_s=2159.6666666666665, slope=0.0, intercept=1.6052631578947367)","Mann_Kendall_Test(trend='increasing', h=True, p=7.612829161951495e-06, z=4.4757927899909555, Tau=0.4804597701149425, s=209.0, var_s=2159.6666666666665, slope=0.0, intercept=0.0019318972814029878)"
googlesamples\\androidtv-sample-inputs,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=18.85919023305292, Tau=0.8561584840654608, s=19880.0, var_s=1111074.0, slope=0.2265625, intercept=10.14453125)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=11.818798098347813, Tau=0.5404392764857882, s=12549.0, var_s=1127203.6666666667, slope=0.1739882937138018, intercept=132.8644402439481)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-12.59804857778404, Tau=-0.5760120585701981, s=-13375.0, var_s=1126979.6666666667, slope=-0.0012214252003400108, intercept=2.0362212418234362)","Mann_Kendall_Test(trend='no trend', h=False, p=0.8268528964083846, z=0.21873960402719783, Tau=0.009991386735572783, s=232.0, var_s=1115242.0, slope=0.0, intercept=0.009153257387273092)"
googlesamples\\leanback-homescreen-channels,"Mann_Kendall_Test(trend='increasing', h=True, p=0.002635812251771119, z=3.007298012521691, Tau=0.5909090909090909, s=39.0, var_s=159.66666666666666, slope=0.13392857142857142, intercept=20.263392857142858)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2998290629406615, z=-1.036800027083756, Tau=-0.22727272727272727, s=-15.0, var_s=182.33333333333334, slope=0.0, intercept=111.4761904761905)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0009009163830246969, z=3.3197700018638554, Tau=0.6818181818181818, s=45.0, var_s=175.66666666666666, slope=0.0005280552090825326, intercept=1.644983020293708)","Mann_Kendall_Test(trend='no trend', h=False, p=0.05681822931485225, z=-1.904706532971467, Tau=-0.4090909090909091, s=-27.0, var_s=186.33333333333334, slope=-3.1618376666789814e-05, intercept=0.004261215831796844)"
googlesamples\\android-play-publisher-api,"Mann_Kendall_Test(trend='increasing', h=True, p=0.00031371467663054986, z=3.6037036959035427, Tau=0.6285714285714286, s=66.0, var_s=325.3333333333333, slope=0.75, intercept=0.75)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00031371467663054986, z=3.6037036959035427, Tau=0.6285714285714286, s=66.0, var_s=325.3333333333333, slope=0.11458333333333215, intercept=62.531250000000014)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0337522229559557, z=2.123019439021117, Tau=0.24761904761904763, s=26.0, var_s=138.66666666666666, slope=0.0, intercept=1.7272727272727273)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0337522229559557, z=2.123019439021117, Tau=0.24761904761904763, s=26.0, var_s=138.66666666666666, slope=0.0, intercept=0.0001327035230739663)"
googlesamples\\androidtv-Leanback,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=15.538212412893609, Tau=0.6174585218702866, s=22925.0, var_s=2176600.3333333335, slope=0.04225352112676056, intercept=20.253521126760564)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=8.411461712852477, Tau=0.34138655462184875, s=12675.0, var_s=2270306.3333333335, slope=0.10168803418803446, intercept=92.1319658119658)","Mann_Kendall_Test(trend='decreasing', h=True, p=5.367040145642932e-12, z=-6.895512663410918, Tau=-0.2798157724628313, s=-10389.0, var_s=2269503.0, slope=-0.00026802342586146495, intercept=1.609672943239335)","Mann_Kendall_Test(trend='increasing', h=True, p=0.002009570539010186, z=3.0888142289319283, Tau=0.12497306614953674, s=4640.0, var_s=2255616.0, slope=8.91368625576818e-07, intercept=0.001075555316236658)"
googlesamples\\android-BluetoothChat,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=12.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.000293404482942794, z=3.6210546857285983, Tau=0.36923076923076925, s=120.0, var_s=1080.0, slope=0.0, intercept=86.66666666666669)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.8526315789473684)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.003988499692544186)"
googlesamples\\android-MediaRecorder,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='increasing', h=True, p=4.1828333419147157e-07, z=5.060443072577113, Tau=0.5269230769230769, s=411.0, var_s=6564.333333333333, slope=0.13043478260869565, intercept=135.45652173913044)","Mann_Kendall_Test(trend='increasing', h=True, p=1.201193510436127e-06, z=4.855440612255202, Tau=0.5012820512820513, s=391.0, var_s=6451.666666666667, slope=0.001326259946949579, intercept=2.3189655172413794)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
googlesamples\\android-fit,"Mann_Kendall_Test(trend='increasing', h=True, p=6.7372774026353e-12, z=6.863121576653685, Tau=0.5382205513784462, s=859.0, var_s=15629.0, slope=0.18421052631578946, intercept=18.842105263157894)","Mann_Kendall_Test(trend='no trend', h=False, p=0.5033516340207536, z=0.6692255126535491, Tau=0.06140350877192982, s=98.0, var_s=21008.666666666668, slope=0.011904761904761972, intercept=71.66666666666667)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.002386989976011611, z=-3.037311055157628, Tau=-0.2744360902255639, s=-438.0, var_s=20700.666666666668, slope=-0.0008715907688510438, intercept=1.4467647899750342)","Mann_Kendall_Test(trend='increasing', h=True, p=5.728750807065808e-14, z=7.513913080598123, Tau=0.643483709273183, s=1027.0, var_s=18645.0, slope=2.795001675717907e-08, intercept=1.8598400569508638e-05)"
googlesamples\\android-DisplayingBitmaps,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=21.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.01894939276744112, z=2.346525042542887, Tau=0.3076923076923077, s=100.0, var_s=1780.0, slope=0.0, intercept=139.0952380952381)","Mann_Kendall_Test(trend='decreasing', h=True, p=2.7893245004184664e-05, z=-4.190017899723102, Tau=-0.49230769230769234, s=-160.0, var_s=1440.0, slope=0.0, intercept=2.0329670329670333)","Mann_Kendall_Test(trend='increasing', h=True, p=0.000293404482942794, z=3.6210546857285983, Tau=0.36923076923076925, s=120.0, var_s=1080.0, slope=0.0, intercept=0.00026623183068641946)"
googlesamples\\android-testing-templates,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=1.6093595975344497, Tau=0.07142857142857142, s=27.0, var_s=261.0, slope=0.0, intercept=13.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=1.6093595975344497, Tau=0.07142857142857142, s=27.0, var_s=261.0, slope=0.0, intercept=25.615384615384613)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=1.6093595975344497, Tau=0.07142857142857142, s=27.0, var_s=261.0, slope=0.0, intercept=1.0384615384615383)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=1.6093595975344497, Tau=0.07142857142857142, s=27.0, var_s=261.0, slope=0.0, intercept=0.06623078597476706)"
googlesamples\\android-ActivityInstrumentation,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=8.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=43.875)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.2)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.684247763478197e-05)"
googlesamples\\chromeos-android-draganddrop-demo,"Mann_Kendall_Test(trend='no trend', h=False, p=0.14750139990263267, z=1.4484136487558028, Tau=0.16666666666666666, s=11.0, var_s=47.666666666666664, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.24713844059490198, z=-1.157327846755065, Tau=-0.22727272727272727, s=-15.0, var_s=146.33333333333334, slope=0.0, intercept=51.33333333333334)","Mann_Kendall_Test(trend='increasing', h=True, p=0.03267480364954989, z=2.1360565635267132, Tau=0.3181818181818182, s=21.0, var_s=87.66666666666667, slope=0.0, intercept=2.1666666666666665)","Mann_Kendall_Test(trend='no trend', h=False, p=0.3706499793198532, z=-0.8952565163435889, Tau=-0.19696969696969696, s=-13.0, var_s=179.66666666666666, slope=0.0, intercept=0.1648459633967529)"
googlesamples\\android-BasicRenderScript,"Mann_Kendall_Test(trend='decreasing', h=True, p=4.9208952950241525e-05, z=-4.059352630104707, Tau=-0.44, s=-143.0, var_s=1223.6666666666667, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.003305393257598599, z=-2.9378101894768838, Tau=-0.39692307692307693, s=-129.0, var_s=1898.3333333333333, slope=-0.14285714285714285, intercept=101.78571428571429)","Mann_Kendall_Test(trend='decreasing', h=True, p=4.9208952950241525e-05, z=-4.059352630104707, Tau=-0.44, s=-143.0, var_s=1223.6666666666667, slope=0.0, intercept=2.0588235294117645)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0020073779921381263, z=3.089138552832727, Tau=0.39076923076923076, s=127.0, var_s=1663.6666666666667, slope=5.2210077068165824e-05, intercept=0.00023494534680674616)"
googlesamples\\android-TensorFlowCloudMachineLearningEngineStylizer,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=1.0, s=1.0, var_s=1.0, slope=7.0, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=1.0, s=1.0, var_s=1.0, slope=132.71428571428572, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=1.0, s=1.0, var_s=1.0, slope=1.7837837837837838, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=1.0, s=1.0, var_s=1.0, slope=0.002382048688429807, intercept=0.0)"
googlesamples\\android-CustomChoiceList,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=9.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=51.22222222222222)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.2264150943396226)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.4971091230917307e-05)"
googlesamples\\android-WatchViewStub,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=-1.6093595975344497, Tau=-0.07142857142857142, s=-27.0, var_s=261.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=1.6093595975344497, Tau=0.07142857142857142, s=27.0, var_s=261.0, slope=0.0, intercept=56.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=1.6093595975344497, Tau=0.07142857142857142, s=27.0, var_s=261.0, slope=0.0, intercept=1.4)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=-1.6093595975344497, Tau=-0.07142857142857142, s=-27.0, var_s=261.0, slope=0.0, intercept=0.0)"
googlesamples\\android-Timer,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=-1.6093595975344497, Tau=-0.07142857142857142, s=-27.0, var_s=261.0, slope=0.0, intercept=6.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=0.0026455026455026454, s=1.0, var_s=503.6666666666667, slope=0.0, intercept=60.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.020502073802960652, z=2.3170304370739143, Tau=0.1402116402116402, s=53.0, var_s=503.6666666666667, slope=0.0, intercept=1.71875)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=1.6093595975344497, Tau=0.07142857142857142, s=27.0, var_s=261.0, slope=0.0, intercept=0.0010905038604202368)"
googlesamples\\android-TextSwitcher,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=7.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=43.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.1956521739130437)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.9248545868322253e-05)"
googlesamples\\android-TextLinkify,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=8.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0003243804740269418, z=-3.5950089108131444, Tau=-0.38, s=-114.0, var_s=988.0, slope=0.0, intercept=38.75)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.1914893617021276)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0003243804740269418, z=3.5950089108131444, Tau=0.38, s=114.0, var_s=988.0, slope=0.0, intercept=0.0005243770756351296)"
googlesamples\\android-SynchronizedNotifications,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10662319797558628, z=-1.6135586226014313, Tau=-0.06896551724137931, s=-28.0, var_s=280.0, slope=0.0, intercept=13.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.00850937399949081, z=-2.6311608947781613, Tau=-0.3078817733990148, s=-125.0, var_s=2221.0, slope=0.0, intercept=51.230769230769226)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10662319797558628, z=1.6135586226014313, Tau=0.06896551724137931, s=28.0, var_s=280.0, slope=0.0, intercept=1.4375)","Mann_Kendall_Test(trend='increasing', h=True, p=5.2068940960436905e-05, z=4.046140714514009, Tau=0.4630541871921182, s=188.0, var_s=2136.0, slope=4.613856283234966e-05, intercept=0.005434696389169008)"
googlesamples\\android-SwipeRefreshMultipleViews,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=14.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11076522956462287, z=1.5947630641475339, Tau=0.08, s=24.0, var_s=208.0, slope=0.0, intercept=73.78571428571429)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11076522956462287, z=1.5947630641475339, Tau=0.08, s=24.0, var_s=208.0, slope=0.0, intercept=1.4403669724770642)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=7.69460852357692e-05)"
googlesamples\\android-SwipeRefreshListFragment,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=14.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11076522956462287, z=1.5947630641475339, Tau=0.08, s=24.0, var_s=208.0, slope=0.0, intercept=73.14285714285714)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11076522956462287, z=1.5947630641475339, Tau=0.08, s=24.0, var_s=208.0, slope=0.0, intercept=1.3944954128440368)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=7.69460852357692e-05)"
googlesamples\\android-SwipeRefreshLayoutBasic,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=13.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11076522956462287, z=1.5947630641475339, Tau=0.08, s=24.0, var_s=208.0, slope=0.0, intercept=73.61538461538461)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11076522956462287, z=1.5947630641475339, Tau=0.08, s=24.0, var_s=208.0, slope=0.0, intercept=1.405940594059406)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=8.286501486928991e-05)"
googlesamples\\android-StorageProvider,"Mann_Kendall_Test(trend='no trend', h=False, p=0.6531730510476854, z=0.4493585171364586, Tau=0.022792022792022793, s=8.0, var_s=242.66666666666666, slope=0.0, intercept=10.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6531730510476854, z=-0.4493585171364586, Tau=-0.022792022792022793, s=-8.0, var_s=242.66666666666666, slope=0.0, intercept=73.5)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6531730510476854, z=0.4493585171364586, Tau=0.022792022792022793, s=8.0, var_s=242.66666666666666, slope=0.0, intercept=1.6125)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6531730510476854, z=-0.4493585171364586, Tau=-0.022792022792022793, s=-8.0, var_s=242.66666666666666, slope=0.0, intercept=0.00010772451933007688)"
googlesamples\\android-StorageClient,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=10.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00015515375990893254, z=3.7826720791800157, Tau=0.42, s=126.0, var_s=1092.0, slope=0.0, intercept=49.4)","Mann_Kendall_Test(trend='increasing', h=True, p=0.00015515375990893254, z=3.7826720791800157, Tau=0.42, s=126.0, var_s=1092.0, slope=0.0, intercept=1.3230769230769228)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.00010772451933007688)"
googlesamples\\android-SlidingTabsColors,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=13.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11076522956462287, z=1.5947630641475339, Tau=0.08, s=24.0, var_s=208.0, slope=0.0, intercept=63.46153846153846)","Mann_Kendall_Test(trend='no trend', h=False, p=0.11076522956462287, z=1.5947630641475339, Tau=0.08, s=24.0, var_s=208.0, slope=0.0, intercept=1.3495145631067962)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=8.286501486928991e-05)"
googlesamples\\android-SlidingTabsBasic,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=12.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10852641278506603, z=1.6048518469159234, Tau=0.07407407407407407, s=26.0, var_s=242.66666666666666, slope=0.0, intercept=61.16666666666666)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10852641278506603, z=1.6048518469159234, Tau=0.07407407407407407, s=26.0, var_s=242.66666666666666, slope=0.0, intercept=1.3763440860215057)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0002673148498402167, z=3.6450740219987767, Tau=0.358974358974359, s=126.0, var_s=1176.0, slope=0.0, intercept=0.00017724932937805232)"
googlesamples\\android-SkeletonWearableApp,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=-1.6093595975344497, Tau=-0.07142857142857142, s=-27.0, var_s=261.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.020502073802960652, z=2.3170304370739143, Tau=0.1402116402116402, s=53.0, var_s=503.6666666666667, slope=0.0, intercept=86.5)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=-1.6093595975344497, Tau=-0.07142857142857142, s=-27.0, var_s=261.0, slope=0.0, intercept=1.0588235294117647)","Mann_Kendall_Test(trend='no trend', h=False, p=0.10753773434719305, z=-1.6093595975344497, Tau=-0.07142857142857142, s=-27.0, var_s=261.0, slope=0.0, intercept=0.0)"
googlesamples\\android-ShareActionProvider,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=57.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.32)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0008430075831711293)"
googlesamples\\android-ScreenCapture,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=10.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=53.1)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.3623188405797102)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.00011938356328755616)"
