framework,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
AWS,aws-samples/aws-cloudhsm-on-aws-lambda-sample,0.0,4,4,4,2,56,10,29,16,0,0,0,0,2,2,0,11,0,11,9,1,11,0,0,0,0,11,0,464,108,235,107,154,121,0,0,0,168,197,106,91,0,0,0,0,0,6,6,8,5,0,0,2,0,0,0,1,60,30,30,33,16,2
AWS,aws-samples/aws-codebuild-polyglot-application,0.012264165794476867,8,8,8,4,64,8,46,8,0,0,0,0,4,1,7,8,0,8,7,0,8,0,0,3,0,5,0,255,45,186,96,95,26,0,0,0,113,135,85,50,0,0,0,0,0,10,10,10,4,0,0,2,0,0,0,0,38,21,21,22,8,4
AWS,aws-samples/aws-codecommit-pull-request-approver-demo,0.5245913416147232,2,2,2,2,8,0,8,0,0,0,0,0,2,2,0,4,0,4,2,0,4,0,0,0,0,4,0,36,5,27,11,4,4,0,0,0,9,15,11,4,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,36,4,4,4,4,2
AWS,aws-samples/aws-codedeploy-sample-tomcat,0.0,8,7,8,2,39,1,38,0,0,0,0,0,2,0,2,9,0,9,9,5,9,0,0,1,0,8,0,207,25,182,102,76,3,0,0,0,111,140,88,52,0,0,0,0,0,12,12,12,2,0,0,4,0,0,0,0,4,22,20,22,9,2
AWS,aws-samples/aws-codeguru-profiler-demo-application,0.0023430343717336655,6,6,7,5,38,1,36,0,0,0,0,0,7,14,16,31,0,31,12,2,26,0,11,10,0,5,0,441,75,337,131,184,30,0,0,0,182,241,130,111,0,0,0,0,0,13,13,14,10,0,0,7,0,0,0,0,62,54,54,57,36,5
AWS,aws-samples/aws-codeguru-profiler-sample-application,0.005858422169694677,13,13,14,9,91,11,60,18,0,0,0,0,8,6,6,29,0,27,23,10,29,0,0,7,0,22,0,509,83,236,104,109,190,0,0,0,132,185,108,77,0,0,0,0,0,18,18,20,10,0,0,8,0,0,0,4,470,47,47,49,31,8
AWS,aws-samples/aws-cognito-java-desktop-app,0.0371807561470912,20,20,21,14,320,42,235,35,0,0,0,0,15,19,26,66,0,66,31,16,50,0,21,19,1,9,0,1883,292,1308,532,918,289,0,0,0,913,1045,519,526,0,0,0,0,0,42,40,46,18,0,0,19,0,0,0,0,281,136,134,140,76,13
AWS,aws-samples/aws-device-farm-appium-cucumber-tests-for-sample-app,0.05356433987617493,9,9,9,6,68,5,35,26,0,0,0,0,6,0,14,18,0,20,20,8,20,0,0,0,2,18,0,493,71,202,117,79,221,0,0,0,120,152,98,54,0,0,0,0,0,13,13,16,7,0,0,5,0,0,0,5,283,26,26,29,20,6
AWS,aws-samples/aws-device-farm-appium-tests-for-sample-app,0.011531145861068659,51,51,51,47,323,7,174,128,0,0,0,0,46,0,47,158,0,161,161,57,161,0,0,5,2,154,0,2983,381,1211,732,344,1397,0,0,0,638,865,606,259,0,0,0,0,0,67,67,71,52,0,0,15,0,0,0,39,1991,183,183,187,168,46
AWS,aws-samples/aws-device-farm-sample-app-for-android,0.00157667839865072,71,71,72,69,461,5,344,91,0,0,0,0,87,5,8,291,0,294,291,136,296,0,3,32,55,206,0,5068,708,2667,1514,858,1698,0,0,0,1527,1933,1251,682,0,0,0,0,0,104,104,108,70,0,0,25,0,0,0,17,3683,338,338,347,293,69
