AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,buse_readability,scalabrino_readability
,,,,,,,,,,,,,,,,,,,,,,,,,,6.887096774193548,16.653225806451612,0.25,15.21774193548387,2.774193548387097,11.887096774193548,1.2096774193548387,6.798387096774194,3.9596774193548385,0.24193548387096775,7.395161290322581,10.088709677419354,2.903225806451613,8.57258064516129,2.6370967741935485,2.4193548387096775,2.911290322580645,1.1693548387096775,1.282258064516129,,,,,0.25806451612903225,,0.782258064516129,0.25,,,0.12540322580645163,2.6370967741935485,2.4193548387096775,2.911290322580645,1.1693548387096775,method,,,7601761960637cbd5075df94895ddb7fe2fa088a,2015-03-09 15:24:42+00:00,3.154963269480504e-05,0.5184303682344131
2.0425531914893615,1.8936170212765957,2.297872340425532,0.9787234042553191,12.191489361702128,0.0425531914893617,11.53191489361702,0.46808510638297873,1.2127659574468086,9.340425531914894,6.382978723404255,0.0425531914893617,,0.02127659574468085,0.7446808510638298,,,,2.8085106382978724,1.5106382978723405,2.8297872340425534,16.170212765957448,0.0,0.8297872340425532,0.2127659574468085,1.7872340425531914,,64.48936170212765,4.638297872340425,54.08510638297872,13.340425531914894,39.851063829787236,5.829787234042553,,,,24.97872340425532,33.851063829787236,12.0,26.361702127659573,,,,,,3.2127659574468086,2.9148936170212765,3.4893617021276597,1.3617021276595744,,2.0,1.148936170212766,,14.02127659574468,11.76595744680851,0.07765957446808511,7.191489361702128,6.617021276595745,7.914893617021277,3.276595744680851,class,,,7601761960637cbd5075df94895ddb7fe2fa088a,2015-03-09 15:24:42+00:00,3.154963269480504e-05,0.5184303682344131
,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,16.0,11.0,7601761960637cbd5075df94895ddb7fe2fa088a,2015-03-09 15:24:42+00:00,3.154963269480504e-05,0.5184303682344131
,,,,,,,,,,,,,,,,,,,,,,,,,,6.887096774193548,16.653225806451612,0.25,15.21774193548387,2.774193548387097,11.887096774193548,1.2096774193548387,6.798387096774194,3.9596774193548385,0.24193548387096775,7.395161290322581,10.088709677419354,2.903225806451613,8.57258064516129,2.6370967741935485,2.4193548387096775,2.911290322580645,1.1693548387096775,1.282258064516129,,,,,0.25806451612903225,,0.782258064516129,0.25,,,0.12540322580645163,2.6370967741935485,2.4193548387096775,2.911290322580645,1.1693548387096775,method,,,cdb54f23b32468201049ba9874c325dfc1027146,2015-03-09 19:18:05+00:00,3.154963269480504e-05,0.5184303682344131
2.0425531914893615,1.8936170212765957,2.297872340425532,0.9787234042553191,12.191489361702128,0.0425531914893617,11.53191489361702,0.46808510638297873,1.2127659574468086,9.340425531914894,6.382978723404255,0.0425531914893617,,0.02127659574468085,0.7446808510638298,,,,2.8085106382978724,1.5106382978723405,2.8297872340425534,16.170212765957448,0.0,0.8297872340425532,0.2127659574468085,1.7872340425531914,,64.48936170212765,4.638297872340425,54.08510638297872,13.340425531914894,39.851063829787236,5.829787234042553,,,,24.97872340425532,33.851063829787236,12.0,26.361702127659573,,,,,,3.2127659574468086,2.9148936170212765,3.4893617021276597,1.3617021276595744,,2.0,1.148936170212766,,14.02127659574468,11.76595744680851,0.07765957446808511,7.191489361702128,6.617021276595745,7.914893617021277,3.276595744680851,class,,,cdb54f23b32468201049ba9874c325dfc1027146,2015-03-09 19:18:05+00:00,3.154963269480504e-05,0.5184303682344131
,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,16.0,11.0,cdb54f23b32468201049ba9874c325dfc1027146,2015-03-09 19:18:05+00:00,3.154963269480504e-05,0.5184303682344131
,,,,,,,,,,,,,,,,,,,,,,,,,,6.767857142857143,16.553571428571427,0.31547619047619047,14.94047619047619,2.8095238095238093,11.660714285714286,1.3214285714285714,6.386904761904762,3.5416666666666665,0.19642857142857142,7.339285714285714,9.910714285714286,2.9464285714285716,8.380952380952381,2.6011904761904763,2.2797619047619047,2.9226190476190474,1.119047619047619,2.0357142857142856,,,,,0.21428571428571427,,0.7440476190476191,0.20833333333333334,,,0.21857142857142847,2.6011904761904763,2.2797619047619047,2.9226190476190474,1.119047619047619,method,,,95f9c6b8e60d80c2ef780a7cad35bac71667997c,2015-03-11 13:48:05+00:00,2.6568111742993717e-05,0.5315977325439698
1.96875,1.828125,2.1875,1.015625,11.359375,0.046875,10.765625,0.40625,1.15625,8.75,6.0,0.078125,,0.046875,0.71875,,,,2.796875,1.40625,2.84375,16.421875,0.0,0.734375,0.390625,1.71875,,63.53125,4.546875,52.921875,13.53125,38.875,6.125,,,,24.5,32.9375,12.015625,25.515625,,,,,,3.046875,2.71875,3.421875,1.328125,,2.046875,1.0,,14.5,12.875,0.0765625,7.0625,6.21875,7.90625,3.15625,class,,,95f9c6b8e60d80c2ef780a7cad35bac71667997c,2015-03-11 13:48:05+00:00,2.6568111742993717e-05,0.5315977325439698
,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,19.0,13.0,95f9c6b8e60d80c2ef780a7cad35bac71667997c,2015-03-11 13:48:05+00:00,2.6568111742993717e-05,0.5315977325439698
,,,,,,,,,,,,,,,,,,,,,,,,,,6.767857142857143,16.553571428571427,0.31547619047619047,14.94047619047619,2.8095238095238093,11.660714285714286,1.3214285714285714,6.386904761904762,3.5416666666666665,0.19642857142857142,7.339285714285714,9.910714285714286,2.9464285714285716,8.380952380952381,2.6011904761904763,2.2797619047619047,2.9226190476190474,1.119047619047619,2.0357142857142856,,,,,0.21428571428571427,,0.7440476190476191,0.20833333333333334,,,0.21857142857142847,2.6011904761904763,2.2797619047619047,2.9226190476190474,1.119047619047619,method,,,8d275bf7f08085be57111ecc2b5b861531ee772d,2015-03-11 14:29:21+00:00,2.6568111742993717e-05,0.5315977325439698
1.96875,1.828125,2.1875,1.015625,11.359375,0.046875,10.765625,0.40625,1.15625,8.75,6.0,0.078125,,0.046875,0.71875,,,,2.796875,1.40625,2.84375,16.421875,0.0,0.734375,0.390625,1.71875,,63.53125,4.546875,52.921875,13.53125,38.875,6.125,,,,24.5,32.9375,12.015625,25.515625,,,,,,3.046875,2.71875,3.421875,1.328125,,2.046875,1.0,,14.5,12.875,0.0765625,7.0625,6.21875,7.90625,3.15625,class,,,8d275bf7f08085be57111ecc2b5b861531ee772d,2015-03-11 14:29:21+00:00,2.6568111742993717e-05,0.5315977325439698
,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,19.0,13.0,8d275bf7f08085be57111ecc2b5b861531ee772d,2015-03-11 14:29:21+00:00,2.6568111742993717e-05,0.5315977325439698
,,,,,,,,,,,,,,,,,,,,,,,,,,6.730337078651686,16.53370786516854,0.33707865168539325,14.910112359550562,2.808988764044944,11.629213483146067,1.3258426966292134,6.365168539325842,3.455056179775281,0.19101123595505617,7.174157303370786,9.741573033707866,2.9775280898876404,8.207865168539326,2.567415730337079,2.252808988764045,2.8820224719101124,1.1123595505617978,2.067415730337079,,,,,0.20224719101123595,,0.7247191011235955,0.19662921348314608,,,0.20887640449438194,2.567415730337079,2.252808988764045,2.8820224719101124,1.1123595505617978,method,,,1f299e90d60c7f713f2ec0488392ad564863b546,2015-03-12 11:40:56+00:00,2.523970615584403e-05,0.5388525907424696
